date,plot,plant_id,raceme_id,raceme_length,budding,mature,post_flowering,missing,fruiting,code,notes,notes2,finished,pollination_plant,previously finished
07-Jun,OTC1,1,1,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC1,1,2,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC1,1,3,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC1,1,4,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC1,1,5,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC1,1,6,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC1,1,7,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC1,1,8,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC1,1,9,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC1,1,10,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC1,1,11,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC1,2,1,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC1,2,2,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC1,3,1,NA,,,,,NA,abr,aborted raceme,,n,,n
07-Jun,OTC1,3,2,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC1,3,3,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC1,4,1,NA,,,,,NA,abr,aborted raceme,,n,,n
07-Jun,OTC1,4,2,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC1,4,3,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC1,4,4,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC2,1,1,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC2,1,2,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC2,2,1,NA,,,,,NA,abr,aborted raceme,,n,,n
07-Jun,OTC2,2,2,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC2,2,3,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC2,2,4,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC2,2,5,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC2,2,6,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC3,1,1,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC3,2,1,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC3,2,2,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC3,3,1,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC3,3,2,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC3,4,1,NA,,,,,NA,bud,budding,,n,y,n
07-Jun,OTC4,1,1,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC4,1,2,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC4,1,3,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC4,1,4,NA,,,,,NA,bud,budding,,n,,n
07-Jun,OTC4,1,5,NA,,,,,NA,bud,budding,,n,,n
