date,plot,plant_id,raceme_id,raceme_length,budding,mature,post_flowering,missing,fruiting,finished,code,notes,notes2,pollination_plant,previously finished
12-Jul,OTC2,2,1,10,0,0,0,26,0,y,abt,abt,,,n
12-Jul,OTC2,2,2,5,0,0,0,14,0,y,abt,abt,,,n
12-Jul,CON5,2,1,NA,NA,NA,NA,NA,NA,y,abr,abr,,,n
12-Jul,CON5,2,2,NA,NA,NA,NA,NA,NA,y,abr,abr,,,n
12-Jul,CON5,2,3,NA,NA,NA,NA,NA,NA,y,abr,abr,,,n
12-Jul,CON5,1,1,4,0,0,0,10,1,y,,,,,n
12-Jul,CON5,1,2,3.5,0,0,0,11,0,y,abt,abt,,,n
12-Jul,OTC3,2,1,4,0,0,2,6,1,y,abt,abt,,,n
12-Jul,OTC3,4,1,10.5,0,0,0,24,1,y,,,,y,n
12-Jul,OTC3,3,1,21,0,0,2,21,0,y,,,,,n
12-Jul,OTC3,3,2,8,0,0,0,11,1,y,,,,,n
12-Jul,OTC3,3,3,12.5,0,0,1,29,1,y,,,,,n
12-Jul,OTC3,3,4,15,0,0,0,20,5,y,,,,,n
12-Jul,OTC3,3,5,10,0,0,1,29,1,y,,,,,n
12-Jul,OTC3,1,1,4,0,3,0,7,0,n,,,,,n
12-Jul,OTC3,1,2,5.5,0,0,0,15,0,y,,,,,n
12-Jul,OTC3,1,3,2,0,0,0,8,0,y,,,,,n
12-Jul,CON4,3,1,4,0,0,0,15,1,y,,,,,n
12-Jul,CON4,5,1,NA,NA,NA,NA,NA,NA,y,abr,abr,,,n
12-Jul,CON4,2,1,8,0,0,9,12,0,y,abr,abr,snapped on stalk,,n
12-Jul,CON4,2,2,7,0,0,0,18,2,y,,,,,n
12-Jul,CON4,2,3,9,0,0,0,20,1,y,,,,,n
12-Jul,CON4,2,4,10,0,0,0,20,2,y,,,,,n
12-Jul,CON4,2,5,7,0,0,0,17,0,y,abt,abt,,,n
12-Jul,CON4,1,1,16,0,0,0,40,0,y,,,plant omitted,,n
12-Jul,CON4,1,2,6,0,0,0,8,5,y,,,plant omitted,,n
12-Jul,CON4,1,3,1,0,0,0,1,4,y,,,plant omitted,,n
12-Jul,CON3,3,1,NA,NA,NA,NA,NA,NA,y,abr,abr,snapped on stalk,,n
12-Jul,CON3,3,2,7,0,0,0,25,1,y,,,,,n
12-Jul,CON3,3,3,8,0,0,0,23,1,y,,,,,n
12-Jul,CON3,3,4,7.5,0,0,2,26,0,y,,,,,n
12-Jul,CON3,3,5,NA,NA,NA,NA,NA,NA,y,abr,abr,,,n
12-Jul,CON3,3,6,8,0,0,0,27,1,y,abt,abt,aphids,,n
12-Jul,CON3,3,7,12.5,0,0,0,12,0,y,abt,abt,,,n
12-Jul,CON3,3,8,5,0,0,5,16,0,y,,,,,n
12-Jul,CON3,3,9,8,0,0,1,25,1,y,,,,,n
12-Jul,CON3,3,10,10,0,0,0,40,0,y,,,,,n
12-Jul,CON3,1,1,8.5,0,0,4,13,2,y,abt,abt,aphids,,n
12-Jul,CON3,1,2,6.5,0,0,4,15,2,y,,,,,n
12-Jul,CON3,1,3,7.5,0,0,5,3,4,y,,,,,n
12-Jul,CON3,1,4,1,0,0,0,1,3,y,abt,abt,,,n
12-Jul,CON3,1,5,7,0,0,6,9,0,y,abt,abt,,,n
12-Jul,CON3,1,6,7,0,0,9,9,1,y,abt,abt,,,n
12-Jul,OTC4,3,1,11.5,0,0,0,25,0,y,,,,y,n
12-Jul,OTC4,3,2,15,0,0,0,29,4,y,abt,abt,,y,n
12-Jul,OTC4,4,1,,0,0,0,20,2,y,,,,,n
12-Jul,OTC7,4,1,14,4,14,1,4,0,n,,,,,n
12-Jul,OTC7,4,2,14,0,10,4,9,1,n,,,,,n
12-Jul,OTC7,4,3,16,0,0,0,38,0,y,,,,,n
12-Jul,OTC7,4,4,14.5,0,0,1,23,0,y,abt,abt,,,n
12-Jul,OTC7,2,1,10.5,0,0,0,29,0,y,,,,y,n
12-Jul,OTC7,2,2,8,0,0,1,23,1,y,,,,y,n
12-Jul,OTC7,2,3,5.5,0,0,0,18,1,y,abt,abt,,y,n
12-Jul,OTC7,1,1,7,0,0,3,25,0,y,,aphids,,,n
12-Jul,OTC7,1,2,6,0,3,2,10,1,n,,,,,n
12-Jul,OTC7,1,3,13,7,0,0,23,1,n,,,7 larvae,,n
12-Jul,OTC7,1,4,1,3,0,0,0,0,n,abt,abt,,,n
12-Jul,OTC7,1,5,5,0,4,0,9,4,n,,,,,n
12-Jul,OTC7,3,1,8,4,0,0,15,0,n,,,4 larvae,,n
12-Jul,OTC7,3,2,5,3,8,0,0,0,n,,,,,n
12-Jul,OTC7,3,3,1.5,0,3,0,3,0,n,,,,,n
12-Jul,OTC7,3,4,9,7,0,0,14,0,n,abt,abt,7 larvae,,n
12-Jul,OTC5,1,1,4.5,0,0,0,22,0,y,,,,,n
12-Jul,OTC5,1,2,4.5,0,0,0,16,0,y,abt,abt,,,n
12-Jul,OTC5,5,1,6,0,0,0,16,0,y,,,,,n
12-Jul,OTC5,2,1,3.5,0,0,0,10,0,y,,,,,n
12-Jul,OTC5,4,1,19,12,6,6,33,0,n,,some aphids,,,n
12-Jul,OTC5,4,2,13,0,1,7,15,6,n,,,,,n
12-Jul,OTC5,4,3,7,2,5,1,7,0,n,,,,,n
12-Jul,OTC5,4,4,17,0,0,5,33,0,y,,lots of aphids,,,n
12-Jul,OTC5,4,5,10,4,7,5,6,2,n,,,,,n
12-Jul,OTC5,4,6,6,9,6,0,5,0,n,,,,,n
12-Jul,OTC5,4,7,6,30,4,0,0,0,n,abt,abt,,,n
12-Jul,OTC5,4,8,16,1,3,0,23,0,n,,1 larvae,,,n
12-Jul,OTC6,2,1,9,0,1,0,16,4,n,,,,,n
12-Jul,OTC6,2,2,7.5,0,0,0,20,0,y,abt,abt,,,n
12-Jul,OTC6,2,3,10,0,0,0,26,0,y,,,,,n
12-Jul,OTC6,2,4,4.5,0,0,0,14,0,y,abt,abt,,,n
12-Jul,OTC6,3,1,0.5,0,0,12,20,1,y,abt,abt,,,n
12-Jul,OTC6,3,2,1,0,0,0,5,0,y,abt,abt,,,n
12-Jul,CON2,4,1,9,0,0,1,19,0,y,abt,abt,,,n
12-Jul,CON2,4,2,9.5,0,0,1,23,2,y,abt,abt,aphids,,n
12-Jul,CON2,4,3,7,0,1,2,10,1,n,,,,,n
12-Jul,CON2,4,4,4,0,0,0,9,0,y,abt,abt,,,n
12-Jul,CON2,4,5,15,0,0,0,31,2,y,abt,abt,,,n
12-Jul,CON2,3,1,6,0,0,3,10,0,y,abt,abt,,y,n
12-Jul,CON2,3,2,1.5,0,0,3,5,0,y,,,snapped on stalk,y,n
12-Jul,CON2,2,1,4,0,0,0,14,0,y,abt,abt,,,n
12-Jul,CON2,2,2,4,0,0,0,8,0,y,abt,abt,,,n
12-Jul,CON1,1,1,18.5,0,0,0,34,5,y,abt,abt,,,n
