date,plot,plant_id,raceme_id,raceme_length,budding,mature,post_flowering,missing,fruiting,finished,code,notes,notes2,pollination_plant,previously finished
12-Jul,OTC1,3,1,3,0,0,0,10,0,y,abt,abt,,,n
12-Jul,OTC1,3,2,NA,NA,NA,NA,NA,NA,y,abr,abr,,,n
12-Jul,OTC1,1,1,2.5,0,0,0,12,0,y,abt,abt,,,n
12-Jul,OTC1,2,1,9.5,0,0,0,33,1,y,abt,abt,,,n
12-Jul,OTC1,2,2,11.5,0,0,0,20,5,y,abt,abt,,,n
12-Jul,CON7,3,1,1.5,0,0,0,10,0,y,abt,abt,,,n
12-Jul,CON7,4,1,NA,NA,NA,NA,NA,NA,y,abr,abr,,,n
12-Jul,CON7,2,1,17.5,0,0,0,49,2,y,,,,y,n
12-Jul,CON7,2,2,8,0,0,0,26,1,y,,,,y,n
12-Jul,CON7,2,3,9,0,0,1,22,0,y,abt,abt,,y,n
12-Jul,CON7,2,4,12,0,0,0,29,0,y,abt,abt,,y,n
12-Jul,CON7,2,5,NA,NA,NA,NA,NA,NA,y,abr,abr,,y,n
12-Jul,CON6,1,1,8.5,0,0,0,20,1,y,abt,abt,,y,n
12-Jul,CON6,1,2,3.5,0,0,4,6,0,y,abt,abt,,y,n
12-Jul,CON6,1,3,12,0,0,6,20,0,y,,,,y,n
12-Jul,CON6,3,1,3.5,0,0,0,7,1,y,,,,,n
12-Jul,CON6,3,2,3.5,1,0,5,9,0,n,abt,abt,,,n
12-Jul,CON6,3,3,10,1,10,5,6,0,n,abt,abt,1 larvae,,n
12-Jul,CON6,2,1,6.5,0,0,0,15,0,y,,,,,n
12-Jul,CON6,4,1,14,0,0,0,34,5,y,,,,,n
12-Jul,CON6,4,2,2,2,3,1,3,0,n,abt,abt,,,n
12-Jul,CON6,4,3,16,0,0,1,40,1,y,abt,abt,,,n
12-Jul,CON6,4,4,12,0,0,1,30,3,y,,,,,n
12-Jul,CON6,4,5,11,0,0,4,30,3,y,,,,,n
