date,plot,plant_id,raceme_id,raceme_length,budding,mature,post_flowering,missing,fruiting,code,notes,notes2,finished,pollination_plant,previously finished
22-Jun,CON1,2,1,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,y,,n
22-Jun,CON1,2,2,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,y,,n
22-Jun,CON1,2,3,6.5,1,2,0,18,0,,,,n,,n
22-Jun,CON1,3,1,4,0,0,0,18,0,,,,y,,n
22-Jun,CON1,3,2,4,0,0,0,18,0,,,,y,,n
22-Jun,CON1,3,3,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,y,,n
22-Jun,CON1,3,4,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,y,,n
22-Jun,CON1,3,5,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,y,,n
22-Jun,CON1,3,6,6,0,0,1,15,0,,,,y,,n
22-Jun,CON1,1,1,7,0,0,0,35,0,,,,y,,n
22-Jun,CON1,1,2,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,y,,n
22-Jun,CON1,1,3,1,0,0,0,3,0,,,,y,,n
22-Jun,CON1,1,4,6.5,15,1,0,1,0,,,,n,,n
22-Jun,CON2,1,1,1.5,0,0,0,6,0,,,,y,,n
22-Jun,CON2,1,2,1,0,0,1,2,0,,,,y,,n
22-Jun,CON2,1,3,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,n,,n
22-Jun,CON2,2,1,NA,NA,NA,NA,NA,NA,bud,Budding Stage,,n,,n
22-Jun,CON2,3,1,8,20,5,0,5,0,,,,n,y,n
22-Jun,CON2,3,2,1.5,NA,NA,NA,NA,NA,bud,Budding Stage,,n,y,n
22-Jun,CON2,3,3,7.5,16,2,0,6,0,,,,n,y,n
22-Jun,CON2,3,4,2.5,3,0,0,10,0,,,,n,y,n
22-Jun,CON2,3,5,2,0,1,0,6,0,abt,Aborted Tip,,n,y,n
22-Jun,CON2,3,6,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,y,y,n
22-Jun,CON2,3,7,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,y,y,n
22-Jun,CON2,3,8,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,y,y,n
22-Jun,CON2,4,1,3.5,2,0,0,11,0,,,,n,,n
22-Jun,CON2,4,2,8,1,0,0,32,0,,,,n,,n
22-Jun,CON2,4,3,13.5,8,2,1,36,0,,,,n,,n
22-Jun,CON2,4,4,7,0,1,2,27,0,,,,n,,n
22-Jun,CON2,4,5,NA,NA,NA,NA,NA,NA,bud,Budding Stage,,n,,n
22-Jun,CON2,4,6,NA,NA,NA,NA,NA,NA,bud,Budding Stage,,n,,n
22-Jun,CON2,4,7,NA,NA,NA,NA,NA,NA,bud,Budding Stage,,n,,n
22-Jun,CON2,4,8,9.5,1,9,4,22,1,,,,n,,n
22-Jun,CON2,4,9,5,0,0,3,10,1,,,,y,,n
22-Jun,CON2,4,10,11.5,0,0,1,34,4,,,,y,,n
22-Jun,CON2,4,11,3.5,0,0,2,5,2,,,,y,,n
22-Jun,CON2,4,12,7.5,14,1,2,0,0,,,,n,,n
22-Jun,CON2,4,13,10.5,0,2,0,29,0,,,,n,,n
22-Jun,CON3,3,1,4.5,20,0,0,0,0,,,,n,,n
22-Jun,CON3,3,2,8,14,9,0,5,0,,,,n,,n
22-Jun,CON3,3,3,6.5,21,4,0,1,0,,,,n,,n
22-Jun,CON3,3,4,4,9,4,0,0,0,abt,Aborted Tip,,n,,n
22-Jun,CON3,3,5,2,0,0,15,0,0,,,,y,,n
22-Jun,CON3,3,6,4,5,6,0,4,0,,,,n,,n
22-Jun,CON3,3,7,8.5,16,15,0,6,0,,,,n,,n
22-Jun,CON3,3,8,7,11,12,0,4,0,,,,n,,n
22-Jun,CON3,3,9,8,7,14,2,3,0,,,,n,,n
22-Jun,CON3,3,10,8,18,8,0,1,0,,,,n,,n
22-Jun,CON3,3,11,7,9,11,1,3,0,,,,n,,n
22-Jun,CON3,3,12,2,2,2,12,1,0,,,,n,,n
22-Jun,CON3,3,13,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,n,,n
22-Jun,CON3,3,14,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,n,,n
22-Jun,CON3,2,1,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,n,,n
22-Jun,CON3,1,1,5,10,6,0,0,0,,,,n,,n
22-Jun,CON3,1,2,5,11,5,1,0,0,,,,n,,n
22-Jun,CON3,1,3,NA,NA,NA,NA,NA,NA,bud,Budding Stage,,n,,n
22-Jun,CON3,1,4,NA,NA,NA,NA,NA,NA,bud,Budding Stage,,n,,n
22-Jun,CON3,1,5,NA,NA,NA,NA,NA,NA,bud,Budding Stage,,n,,n
22-Jun,CON3,1,6,2.5,5,0,7,0,0,,,,n,,n
22-Jun,CON3,1,7,4,0,4,0,10,0,,,,n,,n
22-Jun,CON3,1,8,6,7,10,0,2,0,,,,n,,n
22-Jun,CON3,1,9,6.5,18,1,0,6,0,,,,n,,n
22-Jun,CON4,2,1,5.5,11,1,0,1,0,,,,n,,n
22-Jun,CON4,2,2,6,10,2,0,0,0,,,,n,,n
22-Jun,CON4,2,3,5,7,2,0,0,0,,,,n,,n
22-Jun,CON4,2,4,4,5,1,0,3,0,,,,n,,n
22-Jun,CON4,2,5,6,12,2,0,3,0,,,,n,,n
22-Jun,CON4,2,6,4,2,1,0,3,0,,,,n,,n
22-Jun,CON4,2,7,7,10,2,0,6,0,,,,n,,n
22-Jun,CON4,2,8,6.5,7,2,0,0,0,,,,n,,n
22-Jun,CON4,2,9,6,9,2,1,0,0,,,,n,,n
22-Jun,CON4,5,1,4,3,4,0,1,0,,,,n,,n
22-Jun,CON4,4,1,4,3,4,0,1,0,,,,n,y,n
22-Jun,CON4,3,1,5,3,3,0,10,0,,,,n,,n
22-Jun,CON4,3,2,13,2,5,0,14,4,,,,n,,n
22-Jun,CON5,3,1,11,0,3,1,22,3,,,,n,,n
22-Jun,CON5,3,2,10.5,0,8,1,14,1,,,,n,,n
22-Jun,CON5,3,3,17,0,22,0,2,0,,,,n,,n
22-Jun,CON5,3,4,10,0,3,7,2,0,,,,n,,n
22-Jun,CON5,3,5,13,0,23,0,4,0,,,,n,,n
22-Jun,CON5,3,6,2,1,0,1,7,0,,1 super low flower,,n,,n
