date,plot,plant_id,raceme_id,raceme_length,budding,mature,post_flowering,missing,fruiting,finished,code,notes,notes2,pollination_plant,previously finished
02-Jul,CON7,2,1,18,0,1,1,46,1,n,,,,y,n
02-Jul,CON7,2,2,11,0,3,0,21,2,n,,,,y,n
02-Jul,CON7,2,3,11,0,0,1,23,1,y,,,,y,n
02-Jul,CON7,2,4,9.5,0,0,0,19,1,y,,,,y,n
02-Jul,CON7,2,5,1,0,0,0,6,0,y,abt,Aborted Tip,,y,n
02-Jul,CON7,2,6,NA,NA,NA,NA,NA,NA,y,abr,Aborted Raceme,,y,n
02-Jul,CON7,2,7,NA,NA,NA,NA,NA,NA,y,abr,Aborted Raceme,,y,n
02-Jul,CON7,2,8,NA,NA,NA,NA,NA,NA,y,abr,Aborted Raceme,,y,n
02-Jul,CON7,2,9,NA,NA,NA,NA,NA,NA,y,abr,Aborted Raceme,,y,n
02-Jul,CON7,2,10,NA,NA,NA,NA,NA,NA,y,abr,Aborted Raceme,,y,n
02-Jul,CON7,2,11,NA,NA,NA,NA,NA,NA,y,abr,Aborted Raceme,,y,n
02-Jul,CON7,2,12,NA,NA,NA,NA,NA,NA,y,abr,Aborted Raceme,,y,n
02-Jul,CON7,2,13,8.5,0,0,0,24,1,y,,,,y,n
02-Jul,CON7,2,14,12,0,0,0,22,5,y,,,,y,n
02-Jul,CON7,2,15,9,0,4,0,18,0,n,,aphids,,y,n
02-Jul,CON7,2,16,8,0,0,0,16,2,y,,,,y,n
02-Jul,CON7,2,17,8.5,0,0,0,15,2,y,,,,y,n
02-Jul,CON7,2,18,2,0,1,0,6,0,n,,,,y,n
02-Jul,CON7,2,19,11,0,4,0,23,0,n,,,,y,n
02-Jul,CON7,2,20,2.5,1,0,0,5,0,n,abt,Aborted Tip,,y,n
02-Jul,CON7,2,21,10,0,0,0,16,3,y,,,,y,n
02-Jul,CON7,4,1,7,0,0,0,36,6,y,,,,,n
02-Jul,CON7,4,2,2.5,0,1,0,6,0,n,,,,,n
02-Jul,CON7,4,3,NA,NA,NA,NA,NA,NA,y,abr,Aborted Raceme,,,n
02-Jul,CON7,4,4,NA,NA,NA,NA,NA,NA,y,abr,Aborted Raceme,,,n
02-Jul,CON7,4,5,4.5,0,0,0,10,0,y,,,,,n
02-Jul,CON7,3,1,10,0,0,1,21,1,y,,,whole plant finished,,n
02-Jul,CON7,3,2,6.5,0,0,0,10,0,y,,,,,n
02-Jul,CON7,3,3,NA,NA,NA,NA,NA,NA,y,abr,Aborted Raceme,,,n
02-Jul,CON7,3,4,10,0,0,2,32,7,y,,,,,n
