date,plot,plant_id,raceme_id,raceme_length,budding,mature,post_flowering,missing,fruiting,code,notes,notes2,finished,pollination_plant,previously.finished
21-Jul,CON2,3,8,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,TRUE,TRUE
01-Aug,CON2,3,8,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,TRUE,TRUE
02-Jul,CON2,4,9,5,0,0,3,10,1,none,,NA,TRUE,FALSE,TRUE
12-Jul,CON2,4,9,5,0,0,3,10,1,none,,NA,TRUE,FALSE,TRUE
21-Jul,CON2,4,9,5,0,0,3,10,1,none,,NA,TRUE,FALSE,TRUE
01-Aug,CON2,4,9,5,0,0,3,10,1,none,,NA,TRUE,FALSE,TRUE
02-Jul,CON2,4,10,11.5,0,0,1,34,4,none,,NA,TRUE,FALSE,TRUE
12-Jul,CON2,4,10,11.5,0,0,1,34,4,none,,NA,TRUE,FALSE,TRUE
21-Jul,CON2,4,10,11.5,0,0,1,34,4,none,,NA,TRUE,FALSE,TRUE
01-Aug,CON2,4,10,11.5,0,0,1,34,4,none,,NA,TRUE,FALSE,TRUE
02-Jul,CON2,4,11,3.5,0,0,2,5,2,none,,NA,TRUE,FALSE,TRUE
12-Jul,CON2,4,11,3.5,0,0,2,5,2,none,,NA,TRUE,FALSE,TRUE
21-Jul,CON2,4,11,3.5,0,0,2,5,2,none,,NA,TRUE,FALSE,TRUE
01-Aug,CON2,4,11,3.5,0,0,2,5,2,none,,NA,TRUE,FALSE,TRUE
02-Jul,CON3,3,5,2,0,0,15,0,0,none,,NA,TRUE,FALSE,TRUE
12-Jul,CON3,3,5,2,0,0,15,0,0,none,,NA,TRUE,FALSE,TRUE
21-Jul,CON3,3,5,2,0,0,15,0,0,none,,NA,TRUE,FALSE,TRUE
01-Aug,CON3,3,5,2,0,0,15,0,0,none,,NA,TRUE,FALSE,TRUE
02-Jul,CON5,3,11,8.5,0,0,2,15,0,none,,NA,TRUE,FALSE,TRUE
12-Jul,CON5,3,11,8.5,0,0,2,15,0,none,,NA,TRUE,FALSE,TRUE
21-Jul,CON5,3,11,8.5,0,0,2,15,0,none,,NA,TRUE,FALSE,TRUE
01-Aug,CON5,3,11,8.5,0,0,2,15,0,none,,NA,TRUE,FALSE,TRUE
02-Jul,CON7,2,13,2.5,0,0,4,12,0,none,,NA,TRUE,TRUE,TRUE
12-Jul,CON7,2,13,2.5,0,0,4,12,0,none,,NA,TRUE,TRUE,TRUE
21-Jul,CON7,2,13,2.5,0,0,4,12,0,none,,NA,TRUE,TRUE,TRUE
01-Aug,CON7,2,13,2.5,0,0,4,12,0,none,,NA,TRUE,TRUE,TRUE
02-Jul,CON7,4,1,10,0,0,0,0,7,none,,NA,TRUE,FALSE,TRUE
12-Jul,CON7,4,1,10,0,0,0,0,7,none,,NA,TRUE,FALSE,TRUE
21-Jul,CON7,4,1,10,0,0,0,0,7,none,,NA,TRUE,FALSE,TRUE
01-Aug,CON7,4,1,10,0,0,0,0,7,none,,NA,TRUE,FALSE,TRUE
02-Jul,CON7,4,2,12,0,0,0,0,9,none,,NA,TRUE,FALSE,TRUE
12-Jul,CON7,4,2,12,0,0,0,0,9,none,,NA,TRUE,FALSE,TRUE
21-Jul,CON7,4,2,12,0,0,0,0,9,none,,NA,TRUE,FALSE,TRUE
01-Aug,CON7,4,2,12,0,0,0,0,9,none,,NA,TRUE,FALSE,TRUE
02-Jul,CON7,4,3,4,0,0,0,0,1,none,,NA,TRUE,FALSE,TRUE
12-Jul,CON7,4,3,4,0,0,0,0,1,none,,NA,TRUE,FALSE,TRUE
21-Jul,CON7,4,3,4,0,0,0,0,1,none,,NA,TRUE,FALSE,TRUE
01-Aug,CON7,4,3,4,0,0,0,0,1,none,,NA,TRUE,FALSE,TRUE
02-Jul,OTC1,1,2,10.5,0,0,0,10,18,none,aphids,NA,TRUE,FALSE,TRUE
12-Jul,OTC1,1,2,10.5,0,0,0,10,18,none,aphids,NA,TRUE,FALSE,TRUE
21-Jul,OTC1,1,2,10.5,0,0,0,10,18,none,aphids,NA,TRUE,FALSE,TRUE
01-Aug,OTC1,1,2,10.5,0,0,0,10,18,none,aphids,NA,TRUE,FALSE,TRUE
02-Jul,OTC1,1,5,8,0,0,7,14,14,none,Raceme stalk broken,NA,TRUE,FALSE,TRUE
12-Jul,OTC1,1,5,8,0,0,7,14,14,none,Raceme stalk broken,NA,TRUE,FALSE,TRUE
21-Jul,OTC1,1,5,8,0,0,7,14,14,none,Raceme stalk broken,NA,TRUE,FALSE,TRUE
01-Aug,OTC1,1,5,8,0,0,7,14,14,none,Raceme stalk broken,NA,TRUE,FALSE,TRUE
