"Plot Title: OTC-2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10503812, SEN S/N: 10503812, LBL: ground temp)","Coupler Attached (LGR S/N: 10503812)","Host Connected (LGR S/N: 10503812)","Stopped (LGR S/N: 10503812)","End Of File (LGR S/N: 10503812)"
1,06/07/23 12:00:00  AM,20.901,,,,
2,06/07/23 12:30:00  AM,20.329,,,,
3,06/07/23 01:00:00  AM,19.662,,,,
4,06/07/23 01:30:00  AM,18.996,,,,
5,06/07/23 02:00:00  AM,18.426,,,,
6,06/07/23 02:30:00  AM,17.760,,,,
7,06/07/23 03:00:00  AM,17.094,,,,
8,06/07/23 03:30:00  AM,16.427,,,,
9,06/07/23 04:00:00  AM,15.855,,,,
10,06/07/23 04:30:00  AM,15.187,,,,
11,06/07/23 05:00:00  AM,14.613,,,,
12,06/07/23 05:30:00  AM,14.038,,,,
13,06/07/23 06:00:00  AM,13.461,,,,
14,06/07/23 06:30:00  AM,12.883,,,,
15,06/07/23 07:00:00  AM,12.304,,,,
16,06/07/23 07:30:00  AM,11.819,,,,
17,06/07/23 08:00:00  AM,11.528,,,,
18,06/07/23 08:30:00  AM,15.473,,,,
19,06/07/23 09:00:00  AM,20.138,,,,
20,06/07/23 09:30:00  AM,21.951,,,,
21,06/07/23 10:00:00  AM,23.581,,,,
22,06/07/23 10:30:00  AM,25.902,,,,
23,06/07/23 11:00:00  AM,27.961,,,,
24,06/07/23 11:30:00  AM,29.652,,,,
25,06/07/23 12:00:00  PM,30.862,,,,
26,06/07/23 12:30:00  PM,28.258,,,,
27,06/07/23 01:00:00  PM,36.295,,,,
28,06/07/23 01:30:00  PM,50.180,,,,
29,06/07/23 02:00:00  PM,45.201,,,,
30,06/07/23 02:30:00  PM,37.714,,,,
31,06/07/23 03:00:00  PM,34.903,,,,
32,06/07/23 03:30:00  PM,29.252,,,,
33,06/07/23 04:00:00  PM,25.708,,,,
34,06/07/23 04:30:00  PM,25.125,,,,
35,06/07/23 05:00:00  PM,22.908,,,,
36,06/07/23 05:30:00  PM,21.664,,,,
37,06/07/23 06:00:00  PM,20.424,,,,
38,06/07/23 06:30:00  PM,19.758,,,,
39,06/07/23 07:00:00  PM,19.092,,,,
40,06/07/23 07:30:00  PM,18.236,,,,
41,06/07/23 08:00:00  PM,16.808,,,,
42,06/07/23 08:30:00  PM,15.473,,,,
43,06/07/23 09:00:00  PM,13.558,,,,
44,06/07/23 09:30:00  PM,11.916,,,,
45,06/07/23 10:00:00  PM,11.431,,,,
46,06/07/23 10:30:00  PM,11.236,,,,
47,06/07/23 11:00:00  PM,10.846,,,,
48,06/07/23 11:30:00  PM,9.866,,,,
49,06/08/23 12:00:00  AM,9.077,,,,
50,06/08/23 12:30:00  AM,8.182,,,,
51,06/08/23 01:00:00  AM,7.481,,,,
52,06/08/23 01:30:00  AM,6.877,,,,
53,06/08/23 02:00:00  AM,6.268,,,,
54,06/08/23 02:30:00  AM,5.757,,,,
55,06/08/23 03:00:00  AM,5.347,,,,
56,06/08/23 03:30:00  AM,4.934,,,,
57,06/08/23 04:00:00  AM,4.623,,,,
58,06/08/23 04:30:00  AM,4.415,,,,
59,06/08/23 05:00:00  AM,4.102,,,,
60,06/08/23 05:30:00  AM,3.998,,,,
61,06/08/23 06:00:00  AM,4.102,,,,
62,06/08/23 06:30:00  AM,4.727,,,,
63,06/08/23 07:00:00  AM,6.775,,,,
64,06/08/23 07:30:00  AM,19.472,,,,
65,06/08/23 08:00:00  AM,20.043,,,,
66,06/08/23 08:30:00  AM,14.613,,,,
67,06/08/23 09:00:00  AM,16.141,,,,
68,06/08/23 09:30:00  AM,19.092,,,,
69,06/08/23 10:00:00  AM,21.187,,,,
70,06/08/23 10:30:00  AM,33.118,,,,
71,06/08/23 11:00:00  AM,42.639,,,,
72,06/08/23 11:30:00  AM,32.807,,,,
73,06/08/23 12:00:00  PM,31.778,,,,
74,06/08/23 12:30:00  PM,40.876,,,,
75,06/08/23 01:00:00  PM,34.058,,,,
76,06/08/23 01:30:00  PM,50.734,,,,
77,06/08/23 02:00:00  PM,46.850,,,,
78,06/08/23 02:30:00  PM,35.328,,,,
79,06/08/23 03:00:00  PM,39.957,,,,
80,06/08/23 03:30:00  PM,30.457,,,,
81,06/08/23 04:00:00  PM,27.370,,,,
82,06/08/23 04:30:00  PM,29.552,,,,
83,06/08/23 05:00:00  PM,27.764,,,,
84,06/08/23 05:30:00  PM,28.159,,,,
85,06/08/23 06:00:00  PM,25.902,,,,
86,06/08/23 06:30:00  PM,25.902,,,,
87,06/08/23 07:00:00  PM,24.255,,,,
88,06/08/23 07:30:00  PM,22.812,,,,
89,06/08/23 08:00:00  PM,20.710,,,,
90,06/08/23 08:30:00  PM,19.758,,,,
91,06/08/23 09:00:00  PM,18.236,,,,
92,06/08/23 09:30:00  PM,15.951,,,,
93,06/08/23 10:00:00  PM,14.709,,,,
94,06/08/23 10:30:00  PM,14.709,,,,
95,06/08/23 11:00:00  PM,14.900,,,,
96,06/08/23 11:30:00  PM,14.517,,,,
97,06/09/23 12:00:00  AM,14.421,,,,
98,06/09/23 12:30:00  AM,14.230,,,,
99,06/09/23 01:00:00  AM,14.230,,,,
100,06/09/23 01:30:00  AM,13.365,,,,
101,06/09/23 02:00:00  AM,12.401,,,,
102,06/09/23 02:30:00  AM,11.625,,,,
103,06/09/23 03:00:00  AM,11.236,,,,
104,06/09/23 03:30:00  AM,11.236,,,,
105,06/09/23 04:00:00  AM,11.139,,,,
106,06/09/23 04:30:00  AM,10.846,,,,
107,06/09/23 05:00:00  AM,10.846,,,,
108,06/09/23 05:30:00  AM,11.236,,,,
109,06/09/23 06:00:00  AM,12.304,,,,
110,06/09/23 06:30:00  AM,13.365,,,,
111,06/09/23 07:00:00  AM,14.038,,,,
112,06/09/23 07:30:00  AM,15.855,,,,
113,06/09/23 08:00:00  AM,17.284,,,,
114,06/09/23 08:30:00  AM,17.665,,,,
115,06/09/23 09:00:00  AM,17.665,,,,
116,06/09/23 09:30:00  AM,16.618,,,,
117,06/09/23 10:00:00  AM,15.951,,,,
118,06/09/23 10:30:00  AM,18.996,,,,
119,06/09/23 11:00:00  AM,19.472,,,,
120,06/09/23 11:30:00  AM,19.758,,,,
121,06/09/23 12:00:00  PM,17.950,,,,
122,06/09/23 12:30:00  PM,21.760,,,,
123,06/09/23 01:00:00  PM,24.062,,,,
124,06/09/23 01:30:00  PM,24.738,,,,
125,06/09/23 02:00:00  PM,18.806,,,,
126,06/09/23 02:30:00  PM,17.284,,,,
127,06/09/23 03:00:00  PM,17.855,,,,
128,06/09/23 03:30:00  PM,20.043,,,,
129,06/09/23 04:00:00  PM,19.472,,,,
130,06/09/23 04:30:00  PM,19.377,,,,
131,06/09/23 05:00:00  PM,19.758,,,,
132,06/09/23 05:30:00  PM,17.855,,,,
133,06/09/23 06:00:00  PM,15.569,,,,
134,06/09/23 06:30:00  PM,14.709,,,,
135,06/09/23 07:00:00  PM,14.421,,,,
136,06/09/23 07:30:00  PM,14.134,,,,
137,06/09/23 08:00:00  PM,13.558,,,,
138,06/09/23 08:30:00  PM,12.883,,,,
139,06/09/23 09:00:00  PM,12.304,,,,
140,06/09/23 09:30:00  PM,11.916,,,,
141,06/09/23 10:00:00  PM,11.625,,,,
142,06/09/23 10:30:00  PM,11.431,,,,
143,06/09/23 11:00:00  PM,11.236,,,,
144,06/09/23 11:30:00  PM,11.041,,,,
145,06/10/23 12:00:00  AM,10.846,,,,
146,06/10/23 12:30:00  AM,10.651,,,,
147,06/10/23 01:00:00  AM,10.259,,,,
148,06/10/23 01:30:00  AM,10.357,,,,
149,06/10/23 02:00:00  AM,10.161,,,,
150,06/10/23 02:30:00  AM,9.866,,,,
151,06/10/23 03:00:00  AM,9.768,,,,
152,06/10/23 03:30:00  AM,9.669,,,,
153,06/10/23 04:00:00  AM,9.275,,,,
154,06/10/23 04:30:00  AM,9.275,,,,
155,06/10/23 05:00:00  AM,9.275,,,,
156,06/10/23 05:30:00  AM,9.373,,,,
157,06/10/23 06:00:00  AM,9.472,,,,
158,06/10/23 06:30:00  AM,9.768,,,,
159,06/10/23 07:00:00  AM,10.161,,,,
160,06/10/23 07:30:00  AM,10.357,,,,
161,06/10/23 08:00:00  AM,11.041,,,,
162,06/10/23 08:30:00  AM,12.787,,,,
163,06/10/23 09:00:00  AM,15.473,,,,
164,06/10/23 09:30:00  AM,16.999,,,,
165,06/10/23 10:00:00  AM,18.996,,,,
166,06/10/23 10:30:00  AM,23.292,,,,
167,06/10/23 11:00:00  AM,27.665,,,,
168,06/10/23 11:30:00  AM,24.351,,,,
169,06/10/23 12:00:00  PM,19.377,,,,
170,06/10/23 12:30:00  PM,17.094,,,,
171,06/10/23 01:00:00  PM,17.379,,,,
172,06/10/23 01:30:00  PM,28.060,,,,
173,06/10/23 02:00:00  PM,27.567,,,,
174,06/10/23 02:30:00  PM,18.711,,,,
175,06/10/23 03:00:00  PM,15.282,,,,
176,06/10/23 03:30:00  PM,16.237,,,,
177,06/10/23 04:00:00  PM,15.855,,,,
178,06/10/23 04:30:00  PM,16.523,,,,
179,06/10/23 05:00:00  PM,14.804,,,,
180,06/10/23 05:30:00  PM,16.903,,,,
181,06/10/23 06:00:00  PM,16.046,,,,
182,06/10/23 06:30:00  PM,15.091,,,,
183,06/10/23 07:00:00  PM,13.750,,,,
184,06/10/23 07:30:00  PM,13.365,,,,
185,06/10/23 08:00:00  PM,12.594,,,,
186,06/10/23 08:30:00  PM,11.819,,,,
187,06/10/23 09:00:00  PM,11.528,,,,
188,06/10/23 09:30:00  PM,11.236,,,,
189,06/10/23 10:00:00  PM,10.944,,,,
190,06/10/23 10:30:00  PM,10.748,,,,
191,06/10/23 11:00:00  PM,10.553,,,,
192,06/10/23 11:30:00  PM,10.455,,,,
193,06/11/23 12:00:00  AM,10.357,,,,
194,06/11/23 12:30:00  AM,10.357,,,,
195,06/11/23 01:00:00  AM,10.259,,,,
196,06/11/23 01:30:00  AM,10.161,,,,
197,06/11/23 02:00:00  AM,9.866,,,,
198,06/11/23 02:30:00  AM,9.768,,,,
199,06/11/23 03:00:00  AM,9.669,,,,
200,06/11/23 03:30:00  AM,9.571,,,,
201,06/11/23 04:00:00  AM,9.472,,,,
202,06/11/23 04:30:00  AM,9.472,,,,
203,06/11/23 05:00:00  AM,9.472,,,,
204,06/11/23 05:30:00  AM,9.472,,,,
205,06/11/23 06:00:00  AM,9.669,,,,
206,06/11/23 06:30:00  AM,9.768,,,,
207,06/11/23 07:00:00  AM,10.259,,,,
208,06/11/23 07:30:00  AM,10.944,,,,
209,06/11/23 08:00:00  AM,11.041,,,,
210,06/11/23 08:30:00  AM,11.722,,,,
211,06/11/23 09:00:00  AM,12.401,,,,
212,06/11/23 09:30:00  AM,13.461,,,,
213,06/11/23 10:00:00  AM,15.760,,,,
214,06/11/23 10:30:00  AM,15.282,,,,
215,06/11/23 11:00:00  AM,15.091,,,,
216,06/11/23 11:30:00  AM,15.378,,,,
217,06/11/23 12:00:00  PM,15.187,,,,
218,06/11/23 12:30:00  PM,16.618,,,,
219,06/11/23 01:00:00  PM,17.570,,,,
220,06/11/23 01:30:00  PM,17.475,,,,
221,06/11/23 02:00:00  PM,20.138,,,,
222,06/11/23 02:30:00  PM,19.853,,,,
223,06/11/23 03:00:00  PM,20.805,,,,
224,06/11/23 03:30:00  PM,20.138,,,,
225,06/11/23 04:00:00  PM,18.711,,,,
226,06/11/23 04:30:00  PM,18.996,,,,
227,06/11/23 05:00:00  PM,17.950,,,,
228,06/11/23 05:30:00  PM,17.665,,,,
229,06/11/23 06:00:00  PM,18.996,,,,
230,06/11/23 06:30:00  PM,19.092,,,,
231,06/11/23 07:00:00  PM,17.760,,,,
232,06/11/23 07:30:00  PM,15.664,,,,
233,06/11/23 08:00:00  PM,15.473,,,,
234,06/11/23 08:30:00  PM,14.230,,,,
235,06/11/23 09:00:00  PM,13.076,,,,
236,06/11/23 09:30:00  PM,12.980,,,,
237,06/11/23 10:00:00  PM,11.625,,,,
238,06/11/23 10:30:00  PM,10.651,,,,
239,06/11/23 11:00:00  PM,9.669,,,,
240,06/11/23 11:30:00  PM,9.275,,,,
241,06/12/23 12:00:00  AM,8.879,,,,
242,06/12/23 12:30:00  AM,8.082,,,,
243,06/12/23 01:00:00  AM,7.682,,,,
244,06/12/23 01:30:00  AM,7.179,,,,
245,06/12/23 02:00:00  AM,6.775,,,,
246,06/12/23 02:30:00  AM,6.268,,,,
247,06/12/23 03:00:00  AM,5.860,,,,
248,06/12/23 03:30:00  AM,5.450,,,,
249,06/12/23 04:00:00  AM,6.166,,,,
250,06/12/23 04:30:00  AM,6.573,,,,
251,06/12/23 05:00:00  AM,6.064,,,,
