"Plot Title: OTC-1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10510846, SEN S/N: 10510846, LBL: ground temp)","Coupler Attached (LGR S/N: 10510846)","Host Connected (LGR S/N: 10510846)","Stopped (LGR S/N: 10510846)","End Of File (LGR S/N: 10510846)"
1,06/08/23 12:00:00  AM,9.866,,,,
2,06/08/23 12:30:00  AM,8.978,,,,
3,06/08/23 01:00:00  AM,8.382,,,,
4,06/08/23 01:30:00  AM,7.782,,,,
5,06/08/23 02:00:00  AM,7.179,,,,
6,06/08/23 02:30:00  AM,6.775,,,,
7,06/08/23 03:00:00  AM,6.268,,,,
8,06/08/23 03:30:00  AM,5.860,,,,
9,06/08/23 04:00:00  AM,5.552,,,,
10,06/08/23 04:30:00  AM,5.347,,,,
11,06/08/23 05:00:00  AM,5.037,,,,
12,06/08/23 05:30:00  AM,4.934,,,,
13,06/08/23 06:00:00  AM,5.037,,,,
14,06/08/23 06:30:00  AM,5.552,,,,
15,06/08/23 07:00:00  AM,7.481,,,,
16,06/08/23 07:30:00  AM,14.230,,,,
17,06/08/23 08:00:00  AM,22.812,,,,
18,06/08/23 08:30:00  AM,17.094,,,,
19,06/08/23 09:00:00  AM,16.808,,,,
20,06/08/23 09:30:00  AM,17.379,,,,
21,06/08/23 10:00:00  AM,19.187,,,,
22,06/08/23 10:30:00  AM,20.710,,,,
23,06/08/23 11:00:00  AM,24.062,,,,
24,06/08/23 11:30:00  AM,36.295,,,,
25,06/08/23 12:00:00  PM,27.272,,,,
26,06/08/23 12:30:00  PM,28.655,,,,
27,06/08/23 01:00:00  PM,28.357,,,,
28,06/08/23 01:30:00  PM,47.892,,,,
29,06/08/23 02:00:00  PM,42.878,,,,
30,06/08/23 02:30:00  PM,44.580,,,,
31,06/08/23 03:00:00  PM,48.421,,,,
32,06/08/23 03:30:00  PM,42.046,,,,
33,06/08/23 04:00:00  PM,40.992,,,,
34,06/08/23 04:30:00  PM,43.480,,,,
35,06/08/23 05:00:00  PM,29.252,,,,
36,06/08/23 05:30:00  PM,28.555,,,,
37,06/08/23 06:00:00  PM,25.319,,,,
38,06/08/23 06:30:00  PM,24.931,,,,
39,06/08/23 07:00:00  PM,23.388,,,,
40,06/08/23 07:30:00  PM,22.142,,,,
41,06/08/23 08:00:00  PM,20.424,,,,
42,06/08/23 08:30:00  PM,19.662,,,,
43,06/08/23 09:00:00  PM,18.426,,,,
44,06/08/23 09:30:00  PM,16.427,,,,
45,06/08/23 10:00:00  PM,15.187,,,,
46,06/08/23 10:30:00  PM,14.996,,,,
47,06/08/23 11:00:00  PM,14.996,,,,
48,06/08/23 11:30:00  PM,14.613,,,,
49,06/09/23 12:00:00  AM,14.517,,,,
50,06/09/23 12:30:00  AM,14.325,,,,
51,06/09/23 01:00:00  AM,14.325,,,,
52,06/09/23 01:30:00  AM,13.654,,,,
53,06/09/23 02:00:00  AM,13.076,,,,
54,06/09/23 02:30:00  AM,12.207,,,,
55,06/09/23 03:00:00  AM,11.722,,,,
56,06/09/23 03:30:00  AM,11.722,,,,
57,06/09/23 04:00:00  AM,11.625,,,,
58,06/09/23 04:30:00  AM,11.334,,,,
59,06/09/23 05:00:00  AM,11.431,,,,
60,06/09/23 05:30:00  AM,12.110,,,,
61,06/09/23 06:00:00  AM,12.690,,,,
62,06/09/23 06:30:00  AM,13.365,,,,
63,06/09/23 07:00:00  AM,13.750,,,,
64,06/09/23 07:30:00  AM,15.282,,,,
65,06/09/23 08:00:00  AM,16.046,,,,
66,06/09/23 08:30:00  AM,16.237,,,,
67,06/09/23 09:00:00  AM,16.332,,,,
68,06/09/23 09:30:00  AM,15.473,,,,
69,06/09/23 10:00:00  AM,14.900,,,,
70,06/09/23 10:30:00  AM,17.189,,,,
71,06/09/23 11:00:00  AM,17.475,,,,
72,06/09/23 11:30:00  AM,18.140,,,,
73,06/09/23 12:00:00  PM,16.713,,,,
74,06/09/23 12:30:00  PM,19.853,,,,
75,06/09/23 01:00:00  PM,21.091,,,,
76,06/09/23 01:30:00  PM,21.951,,,,
77,06/09/23 02:00:00  PM,17.475,,,,
78,06/09/23 02:30:00  PM,16.332,,,,
79,06/09/23 03:00:00  PM,16.903,,,,
80,06/09/23 03:30:00  PM,18.711,,,,
81,06/09/23 04:00:00  PM,17.665,,,,
82,06/09/23 04:30:00  PM,17.855,,,,
83,06/09/23 05:00:00  PM,18.236,,,,
84,06/09/23 05:30:00  PM,16.523,,,,
85,06/09/23 06:00:00  PM,14.613,,,,
86,06/09/23 06:30:00  PM,14.038,,,,
87,06/09/23 07:00:00  PM,13.654,,,,
88,06/09/23 07:30:00  PM,13.558,,,,
89,06/09/23 08:00:00  PM,12.980,,,,
90,06/09/23 08:30:00  PM,12.497,,,,
91,06/09/23 09:00:00  PM,12.110,,,,
92,06/09/23 09:30:00  PM,11.722,,,,
93,06/09/23 10:00:00  PM,11.528,,,,
94,06/09/23 10:30:00  PM,11.334,,,,
95,06/09/23 11:00:00  PM,11.139,,,,
96,06/09/23 11:30:00  PM,10.846,,,,
97,06/10/23 12:00:00  AM,10.651,,,,
98,06/10/23 12:30:00  AM,10.651,,,,
99,06/10/23 01:00:00  AM,10.259,,,,
100,06/10/23 01:30:00  AM,10.259,,,,
101,06/10/23 02:00:00  AM,10.063,,,,
102,06/10/23 02:30:00  AM,9.866,,,,
103,06/10/23 03:00:00  AM,9.768,,,,
104,06/10/23 03:30:00  AM,9.669,,,,
105,06/10/23 04:00:00  AM,9.275,,,,
106,06/10/23 04:30:00  AM,9.275,,,,
107,06/10/23 05:00:00  AM,9.275,,,,
108,06/10/23 05:30:00  AM,9.275,,,,
109,06/10/23 06:00:00  AM,9.275,,,,
110,06/10/23 06:30:00  AM,9.472,,,,
111,06/10/23 07:00:00  AM,9.669,,,,
112,06/10/23 07:30:00  AM,9.866,,,,
113,06/10/23 08:00:00  AM,10.161,,,,
114,06/10/23 08:30:00  AM,12.013,,,,
115,06/10/23 09:00:00  AM,14.134,,,,
116,06/10/23 09:30:00  AM,14.038,,,,
117,06/10/23 10:00:00  AM,16.046,,,,
118,06/10/23 10:30:00  AM,17.855,,,,
119,06/10/23 11:00:00  AM,17.760,,,,
120,06/10/23 11:30:00  AM,22.621,,,,
121,06/10/23 12:00:00  PM,16.523,,,,
122,06/10/23 12:30:00  PM,15.187,,,,
123,06/10/23 01:00:00  PM,15.760,,,,
124,06/10/23 01:30:00  PM,26.390,,,,
125,06/10/23 02:00:00  PM,24.351,,,,
126,06/10/23 02:30:00  PM,16.713,,,,
127,06/10/23 03:00:00  PM,14.900,,,,
128,06/10/23 03:30:00  PM,15.473,,,,
129,06/10/23 04:00:00  PM,15.187,,,,
130,06/10/23 04:30:00  PM,16.046,,,,
131,06/10/23 05:00:00  PM,14.421,,,,
132,06/10/23 05:30:00  PM,16.046,,,,
133,06/10/23 06:00:00  PM,14.996,,,,
134,06/10/23 06:30:00  PM,14.230,,,,
135,06/10/23 07:00:00  PM,12.883,,,,
136,06/10/23 07:30:00  PM,12.594,,,,
137,06/10/23 08:00:00  PM,12.304,,,,
138,06/10/23 08:30:00  PM,11.528,,,,
139,06/10/23 09:00:00  PM,11.334,,,,
140,06/10/23 09:30:00  PM,11.041,,,,
141,06/10/23 10:00:00  PM,10.651,,,,
142,06/10/23 10:30:00  PM,10.553,,,,
143,06/10/23 11:00:00  PM,10.357,,,,
144,06/10/23 11:30:00  PM,10.357,,,,
145,06/11/23 12:00:00  AM,10.357,,,,
146,06/11/23 12:30:00  AM,10.259,,,,
147,06/11/23 01:00:00  AM,10.259,,,,
148,06/11/23 01:30:00  AM,10.161,,,,
149,06/11/23 02:00:00  AM,9.866,,,,
150,06/11/23 02:30:00  AM,9.768,,,,
151,06/11/23 03:00:00  AM,9.669,,,,
152,06/11/23 03:30:00  AM,9.669,,,,
153,06/11/23 04:00:00  AM,9.472,,,,
154,06/11/23 04:30:00  AM,9.472,,,,
155,06/11/23 05:00:00  AM,9.472,,,,
156,06/11/23 05:30:00  AM,9.571,,,,
157,06/11/23 06:00:00  AM,9.669,,,,
158,06/11/23 06:30:00  AM,9.768,,,,
159,06/11/23 07:00:00  AM,10.161,,,,
160,06/11/23 07:30:00  AM,10.651,,,,
161,06/11/23 08:00:00  AM,10.846,,,,
162,06/11/23 08:30:00  AM,11.431,,,,
163,06/11/23 09:00:00  AM,11.916,,,,
164,06/11/23 09:30:00  AM,12.883,,,,
165,06/11/23 10:00:00  AM,14.038,,,,
166,06/11/23 10:30:00  AM,14.134,,,,
167,06/11/23 11:00:00  AM,13.942,,,,
168,06/11/23 11:30:00  AM,14.613,,,,
169,06/11/23 12:00:00  PM,14.421,,,,
170,06/11/23 12:30:00  PM,15.378,,,,
171,06/11/23 01:00:00  PM,16.523,,,,
172,06/11/23 01:30:00  PM,16.713,,,,
173,06/11/23 02:00:00  PM,18.806,,,,
174,06/11/23 02:30:00  PM,18.331,,,,
175,06/11/23 03:00:00  PM,20.043,,,,
176,06/11/23 03:30:00  PM,25.513,,,,
177,06/11/23 04:00:00  PM,24.255,,,,
178,06/11/23 04:30:00  PM,22.046,,,,
179,06/11/23 05:00:00  PM,18.236,,,,
180,06/11/23 05:30:00  PM,17.855,,,,
181,06/11/23 06:00:00  PM,19.472,,,,
182,06/11/23 06:30:00  PM,19.187,,,,
183,06/11/23 07:00:00  PM,17.665,,,,
184,06/11/23 07:30:00  PM,15.760,,,,
185,06/11/23 08:00:00  PM,15.664,,,,
