"Plot Title: CON-6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20173906, SEN S/N: 20173906, LBL: ground temperature)","Coupler Attached (LGR S/N: 20173906)","Host Connected (LGR S/N: 20173906)","Stopped (LGR S/N: 20173906)","End Of File (LGR S/N: 20173906)"
1,06/08/23 12:00:00  AM,8.978,,,,
2,06/08/23 12:30:00  AM,8.082,,,,
3,06/08/23 01:00:00  AM,7.381,,,,
4,06/08/23 01:30:00  AM,6.775,,,,
5,06/08/23 02:00:00  AM,6.166,,,,
6,06/08/23 02:30:00  AM,5.655,,,,
7,06/08/23 03:00:00  AM,5.244,,,,
8,06/08/23 03:30:00  AM,4.831,,,,
9,06/08/23 04:00:00  AM,4.519,,,,
10,06/08/23 04:30:00  AM,4.311,,,,
11,06/08/23 05:00:00  AM,3.998,,,,
12,06/08/23 05:30:00  AM,3.893,,,,
13,06/08/23 06:00:00  AM,3.998,,,,
14,06/08/23 06:30:00  AM,4.623,,,,
15,06/08/23 07:00:00  AM,6.166,,,,
16,06/08/23 07:30:00  AM,8.082,,,,
17,06/08/23 08:00:00  AM,10.063,,,,
18,06/08/23 08:30:00  AM,14.230,,,,
19,06/08/23 09:00:00  AM,19.092,,,,
20,06/08/23 09:30:00  AM,23.004,,,,
21,06/08/23 10:00:00  AM,34.903,,,,
22,06/08/23 10:30:00  AM,30.457,,,,
23,06/08/23 11:00:00  AM,26.585,,,,
24,06/08/23 11:30:00  AM,25.513,,,,
25,06/08/23 12:00:00  PM,26.097,,,,
26,06/08/23 12:30:00  PM,28.357,,,,
27,06/08/23 01:00:00  PM,28.060,,,,
28,06/08/23 01:30:00  PM,28.357,,,,
29,06/08/23 02:00:00  PM,28.754,,,,
30,06/08/23 02:30:00  PM,27.764,,,,
31,06/08/23 03:00:00  PM,31.064,,,,
32,06/08/23 03:30:00  PM,38.714,,,,
33,06/08/23 04:00:00  PM,37.165,,,,
34,06/08/23 04:30:00  PM,30.760,,,,
35,06/08/23 05:00:00  PM,27.370,,,,
36,06/08/23 05:30:00  PM,27.764,,,,
37,06/08/23 06:00:00  PM,25.610,,,,
38,06/08/23 06:30:00  PM,24.931,,,,
39,06/08/23 07:00:00  PM,23.677,,,,
40,06/08/23 07:30:00  PM,22.238,,,,
41,06/08/23 08:00:00  PM,20.234,,,,
42,06/08/23 08:30:00  PM,19.282,,,,
43,06/08/23 09:00:00  PM,17.950,,,,
44,06/08/23 09:30:00  PM,15.760,,,,
45,06/08/23 10:00:00  PM,14.421,,,,
46,06/08/23 10:30:00  PM,14.421,,,,
47,06/08/23 11:00:00  PM,14.517,,,,
48,06/08/23 11:30:00  PM,14.230,,,,
49,06/09/23 12:00:00  AM,14.134,,,,
50,06/09/23 12:30:00  AM,13.942,,,,
51,06/09/23 01:00:00  AM,13.846,,,,
52,06/09/23 01:30:00  AM,13.076,,,,
53,06/09/23 02:00:00  AM,12.304,,,,
54,06/09/23 02:30:00  AM,11.431,,,,
55,06/09/23 03:00:00  AM,11.041,,,,
56,06/09/23 03:30:00  AM,11.139,,,,
57,06/09/23 04:00:00  AM,11.041,,,,
58,06/09/23 04:30:00  AM,10.748,,,,
59,06/09/23 05:00:00  AM,10.748,,,,
60,06/09/23 05:30:00  AM,11.334,,,,
61,06/09/23 06:00:00  AM,12.207,,,,
62,06/09/23 06:30:00  AM,13.076,,,,
63,06/09/23 07:00:00  AM,13.654,,,,
64,06/09/23 07:30:00  AM,15.378,,,,
65,06/09/23 08:00:00  AM,16.332,,,,
66,06/09/23 08:30:00  AM,16.903,,,,
67,06/09/23 09:00:00  AM,16.903,,,,
68,06/09/23 09:30:00  AM,15.760,,,,
69,06/09/23 10:00:00  AM,15.091,,,,
70,06/09/23 10:30:00  AM,17.475,,,,
71,06/09/23 11:00:00  AM,17.950,,,,
72,06/09/23 11:30:00  AM,18.806,,,,
73,06/09/23 12:00:00  PM,17.379,,,,
74,06/09/23 12:30:00  PM,19.853,,,,
75,06/09/23 01:00:00  PM,22.046,,,,
76,06/09/23 01:30:00  PM,22.429,,,,
77,06/09/23 02:00:00  PM,17.950,,,,
78,06/09/23 02:30:00  PM,16.523,,,,
79,06/09/23 03:00:00  PM,17.284,,,,
80,06/09/23 03:30:00  PM,19.377,,,,
81,06/09/23 04:00:00  PM,17.950,,,,
82,06/09/23 04:30:00  PM,18.331,,,,
83,06/09/23 05:00:00  PM,18.616,,,,
84,06/09/23 05:30:00  PM,16.999,,,,
85,06/09/23 06:00:00  PM,14.804,,,,
86,06/09/23 06:30:00  PM,14.038,,,,
87,06/09/23 07:00:00  PM,13.654,,,,
88,06/09/23 07:30:00  PM,13.558,,,,
89,06/09/23 08:00:00  PM,13.076,,,,
90,06/09/23 08:30:00  PM,12.497,,,,
91,06/09/23 09:00:00  PM,12.013,,,,
92,06/09/23 09:30:00  PM,11.625,,,,
93,06/09/23 10:00:00  PM,11.334,,,,
94,06/09/23 10:30:00  PM,11.139,,,,
95,06/09/23 11:00:00  PM,10.944,,,,
96,06/09/23 11:30:00  PM,10.748,,,,
97,06/10/23 12:00:00  AM,10.553,,,,
98,06/10/23 12:30:00  AM,10.455,,,,
99,06/10/23 01:00:00  AM,10.063,,,,
100,06/10/23 01:30:00  AM,10.161,,,,
101,06/10/23 02:00:00  AM,9.965,,,,
102,06/10/23 02:30:00  AM,9.669,,,,
103,06/10/23 03:00:00  AM,9.571,,,,
104,06/10/23 03:30:00  AM,9.571,,,,
105,06/10/23 04:00:00  AM,9.176,,,,
106,06/10/23 04:30:00  AM,9.176,,,,
107,06/10/23 05:00:00  AM,9.176,,,,
108,06/10/23 05:30:00  AM,9.176,,,,
109,06/10/23 06:00:00  AM,9.176,,,,
110,06/10/23 06:30:00  AM,9.472,,,,
111,06/10/23 07:00:00  AM,9.669,,,,
112,06/10/23 07:30:00  AM,9.768,,,,
113,06/10/23 08:00:00  AM,10.259,,,,
114,06/10/23 08:30:00  AM,11.722,,,,
115,06/10/23 09:00:00  AM,14.230,,,,
116,06/10/23 09:30:00  AM,14.709,,,,
117,06/10/23 10:00:00  AM,17.189,,,,
118,06/10/23 10:30:00  AM,18.711,,,,
119,06/10/23 11:00:00  AM,18.616,,,,
120,06/10/23 11:30:00  AM,18.996,,,,
121,06/10/23 12:00:00  PM,16.999,,,,
122,06/10/23 12:30:00  PM,15.855,,,,
123,06/10/23 01:00:00  PM,15.951,,,,
124,06/10/23 01:30:00  PM,20.138,,,,
125,06/10/23 02:00:00  PM,20.519,,,,
126,06/10/23 02:30:00  PM,16.808,,,,
127,06/10/23 03:00:00  PM,14.230,,,,
128,06/10/23 03:30:00  PM,14.900,,,,
129,06/10/23 04:00:00  PM,14.517,,,,
130,06/10/23 04:30:00  PM,15.187,,,,
131,06/10/23 05:00:00  PM,14.517,,,,
132,06/10/23 05:30:00  PM,15.760,,,,
133,06/10/23 06:00:00  PM,14.996,,,,
134,06/10/23 06:30:00  PM,14.230,,,,
135,06/10/23 07:00:00  PM,12.883,,,,
136,06/10/23 07:30:00  PM,12.497,,,,
137,06/10/23 08:00:00  PM,12.207,,,,
138,06/10/23 08:30:00  PM,11.528,,,,
139,06/10/23 09:00:00  PM,11.139,,,,
140,06/10/23 09:30:00  PM,10.846,,,,
141,06/10/23 10:00:00  PM,10.455,,,,
142,06/10/23 10:30:00  PM,10.357,,,,
143,06/10/23 11:00:00  PM,10.161,,,,
144,06/10/23 11:30:00  PM,10.161,,,,
145,06/11/23 12:00:00  AM,10.161,,,,
146,06/11/23 12:30:00  AM,10.161,,,,
147,06/11/23 01:00:00  AM,10.063,,,,
148,06/11/23 01:30:00  AM,9.965,,,,
149,06/11/23 02:00:00  AM,9.669,,,,
150,06/11/23 02:30:00  AM,9.571,,,,
151,06/11/23 03:00:00  AM,9.472,,,,
152,06/11/23 03:30:00  AM,9.472,,,,
153,06/11/23 04:00:00  AM,9.373,,,,
154,06/11/23 04:30:00  AM,9.373,,,,
155,06/11/23 05:00:00  AM,9.373,,,,
156,06/11/23 05:30:00  AM,9.373,,,,
157,06/11/23 06:00:00  AM,9.571,,,,
158,06/11/23 06:30:00  AM,9.768,,,,
159,06/11/23 07:00:00  AM,9.965,,,,
160,06/11/23 07:30:00  AM,10.553,,,,
161,06/11/23 08:00:00  AM,10.944,,,,
162,06/11/23 08:30:00  AM,11.528,,,,
163,06/11/23 09:00:00  AM,12.304,,,,
164,06/11/23 09:30:00  AM,13.076,,,,
165,06/11/23 10:00:00  AM,14.996,,,,
166,06/11/23 10:30:00  AM,14.996,,,,
167,06/11/23 11:00:00  AM,15.091,,,,
168,06/11/23 11:30:00  AM,15.187,,,,
169,06/11/23 12:00:00  PM,14.900,,,,
170,06/11/23 12:30:00  PM,15.951,,,,
171,06/11/23 01:00:00  PM,16.999,,,,
172,06/11/23 01:30:00  PM,17.284,,,,
173,06/11/23 02:00:00  PM,18.711,,,,
174,06/11/23 02:30:00  PM,18.711,,,,
175,06/11/23 03:00:00  PM,19.282,,,,
176,06/11/23 03:30:00  PM,26.195,,,,
177,06/11/23 04:00:00  PM,24.158,,,,
178,06/11/23 04:30:00  PM,19.948,,,,
179,06/11/23 05:00:00  PM,18.140,,,,
180,06/11/23 05:30:00  PM,17.760,,,,
181,06/11/23 06:00:00  PM,19.472,,,,
182,06/11/23 06:30:00  PM,19.282,,,,
183,06/11/23 07:00:00  PM,17.665,,,,
184,06/11/23 07:30:00  PM,15.855,,,,
185,06/11/23 08:00:00  PM,15.760,,,,
186,06/11/23 08:30:00  PM,14.421,,,,
187,06/11/23 09:00:00  PM,13.173,,,,
188,06/11/23 09:30:00  PM,12.980,,,,
189,06/11/23 10:00:00  PM,11.625,,,,
190,06/11/23 10:30:00  PM,10.651,,,,
191,06/11/23 11:00:00  PM,9.768,,,,
192,06/11/23 11:30:00  PM,9.472,,,,
193,06/12/23 12:00:00  AM,8.978,,,,
194,06/12/23 12:30:00  AM,8.382,,,,
195,06/12/23 01:00:00  AM,7.882,,,,
196,06/12/23 01:30:00  AM,7.381,,,,
197,06/12/23 02:00:00  AM,6.877,,,,
198,06/12/23 02:30:00  AM,6.471,,,,
199,06/12/23 03:00:00  AM,5.962,,,,
200,06/12/23 03:30:00  AM,5.552,,,,
201,06/12/23 04:00:00  AM,6.370,,,,
202,06/12/23 04:30:00  AM,6.674,,,,
203,06/12/23 05:00:00  AM,6.064,,,,
204,06/12/23 05:30:00  AM,5.757,,,,
205,06/12/23 06:00:00  AM,5.450,,,,
206,06/12/23 06:30:00  AM,5.655,,,,
