"Plot Title: CON-3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10162813, SEN S/N: 10162813, LBL: ground temperature)","Host Connected (LGR S/N: 10162813)","Coupler Attached (LGR S/N: 10162813)","Stopped (LGR S/N: 10162813)","End Of File (LGR S/N: 10162813)"
107,06/10/23 05:00:00  AM,9.077,,,,
108,06/10/23 05:30:00  AM,9.077,,,,
109,06/10/23 06:00:00  AM,9.176,,,,
110,06/10/23 06:30:00  AM,9.275,,,,
111,06/10/23 07:00:00  AM,9.373,,,,
112,06/10/23 07:30:00  AM,9.571,,,,
113,06/10/23 08:00:00  AM,9.866,,,,
114,06/10/23 08:30:00  AM,11.334,,,,
115,06/10/23 09:00:00  AM,16.237,,,,
116,06/10/23 09:30:00  AM,20.329,,,,
117,06/10/23 10:00:00  AM,20.710,,,,
118,06/10/23 10:30:00  AM,20.805,,,,
119,06/10/23 11:00:00  AM,21.664,,,,
120,06/10/23 11:30:00  AM,21.091,,,,
121,06/10/23 12:00:00  PM,16.808,,,,
122,06/10/23 12:30:00  PM,14.996,,,,
123,06/10/23 01:00:00  PM,15.282,,,,
124,06/10/23 01:30:00  PM,19.282,,,,
125,06/10/23 02:00:00  PM,19.567,,,,
126,06/10/23 02:30:00  PM,15.569,,,,
127,06/10/23 03:00:00  PM,13.173,,,,
128,06/10/23 03:30:00  PM,13.942,,,,
129,06/10/23 04:00:00  PM,13.558,,,,
130,06/10/23 04:30:00  PM,14.038,,,,
131,06/10/23 05:00:00  PM,13.173,,,,
132,06/10/23 05:30:00  PM,14.517,,,,
133,06/10/23 06:00:00  PM,13.942,,,,
134,06/10/23 06:30:00  PM,13.173,,,,
135,06/10/23 07:00:00  PM,12.013,,,,
136,06/10/23 07:30:00  PM,11.916,,,,
137,06/10/23 08:00:00  PM,11.528,,,,
138,06/10/23 08:30:00  PM,11.041,,,,
139,06/10/23 09:00:00  PM,10.846,,,,
140,06/10/23 09:30:00  PM,10.553,,,,
141,06/10/23 10:00:00  PM,10.357,,,,
142,06/10/23 10:30:00  PM,10.259,,,,
143,06/10/23 11:00:00  PM,10.063,,,,
144,06/10/23 11:30:00  PM,10.063,,,,
145,06/11/23 12:00:00  AM,10.063,,,,
146,06/11/23 12:30:00  AM,9.965,,,,
147,06/11/23 01:00:00  AM,9.866,,,,
148,06/11/23 01:30:00  AM,9.768,,,,
149,06/11/23 02:00:00  AM,9.571,,,,
150,06/11/23 02:30:00  AM,9.472,,,,
151,06/11/23 03:00:00  AM,9.373,,,,
152,06/11/23 03:30:00  AM,9.373,,,,
153,06/11/23 04:00:00  AM,9.176,,,,
154,06/11/23 04:30:00  AM,9.176,,,,
155,06/11/23 05:00:00  AM,9.275,,,,
156,06/11/23 05:30:00  AM,9.275,,,,
157,06/11/23 06:00:00  AM,9.373,,,,
158,06/11/23 06:30:00  AM,9.472,,,,
159,06/11/23 07:00:00  AM,9.866,,,,
160,06/11/23 07:30:00  AM,10.259,,,,
161,06/11/23 08:00:00  AM,10.553,,,,
162,06/11/23 08:30:00  AM,11.236,,,,
163,06/11/23 09:00:00  AM,11.722,,,,
164,06/11/23 09:30:00  AM,12.497,,,,
165,06/11/23 10:00:00  AM,13.942,,,,
166,06/11/23 10:30:00  AM,13.942,,,,
167,06/11/23 11:00:00  AM,14.230,,,,
168,06/11/23 11:30:00  AM,14.134,,,,
169,06/11/23 12:00:00  PM,14.134,,,,
170,06/11/23 12:30:00  PM,15.187,,,,
171,06/11/23 01:00:00  PM,15.664,,,,
172,06/11/23 01:30:00  PM,15.760,,,,
173,06/11/23 02:00:00  PM,17.284,,,,
174,06/11/23 02:30:00  PM,17.094,,,,
175,06/11/23 03:00:00  PM,17.475,,,,
