"Plot Title: OTC-5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10189818, SEN S/N: 10189818, LBL: ground temp)","Coupler Attached (LGR S/N: 10189818)","Host Connected (LGR S/N: 10189818)","Stopped (LGR S/N: 10189818)","End Of File (LGR S/N: 10189818)"
1,06/08/23 12:00:00  AM,8.182,,,,
2,06/08/23 12:30:00  AM,7.481,,,,
3,06/08/23 01:00:00  AM,6.877,,,,
4,06/08/23 01:30:00  AM,6.268,,,,
5,06/08/23 02:00:00  AM,5.757,,,,
6,06/08/23 02:30:00  AM,5.244,,,,
7,06/08/23 03:00:00  AM,4.934,,,,
8,06/08/23 03:30:00  AM,4.623,,,,
9,06/08/23 04:00:00  AM,4.207,,,,
10,06/08/23 04:30:00  AM,3.998,,,,
11,06/08/23 05:00:00  AM,3.683,,,,
12,06/08/23 05:30:00  AM,3.683,,,,
13,06/08/23 06:00:00  AM,3.683,,,,
14,06/08/23 06:30:00  AM,4.831,,,,
15,06/08/23 07:00:00  AM,6.978,,,,
16,06/08/23 07:30:00  AM,8.382,,,,
17,06/08/23 08:00:00  AM,10.357,,,,
18,06/08/23 08:30:00  AM,12.304,,,,
19,06/08/23 09:00:00  AM,15.473,,,,
20,06/08/23 09:30:00  AM,26.195,,,,
21,06/08/23 10:00:00  AM,21.664,,,,
22,06/08/23 10:30:00  AM,24.835,,,,
23,06/08/23 11:00:00  AM,23.388,,,,
24,06/08/23 11:30:00  AM,23.581,,,,
25,06/08/23 12:00:00  PM,24.835,,,,
26,06/08/23 12:30:00  PM,26.683,,,,
27,06/08/23 01:00:00  PM,26.683,,,,
28,06/08/23 01:30:00  PM,25.708,,,,
29,06/08/23 02:00:00  PM,26.488,,,,
30,06/08/23 02:30:00  PM,23.773,,,,
31,06/08/23 03:00:00  PM,25.028,,,,
32,06/08/23 03:30:00  PM,23.292,,,,
33,06/08/23 04:00:00  PM,28.456,,,,
34,06/08/23 04:30:00  PM,26.097,,,,
35,06/08/23 05:00:00  PM,24.641,,,,
36,06/08/23 05:30:00  PM,25.805,,,,
37,06/08/23 06:00:00  PM,23.677,,,,
38,06/08/23 06:30:00  PM,23.196,,,,
39,06/08/23 07:00:00  PM,22.046,,,,
40,06/08/23 07:30:00  PM,20.805,,,,
41,06/08/23 08:00:00  PM,18.996,,,,
42,06/08/23 08:30:00  PM,18.045,,,,
43,06/08/23 09:00:00  PM,16.903,,,,
44,06/08/23 09:30:00  PM,14.517,,,,
45,06/08/23 10:00:00  PM,13.269,,,,
46,06/08/23 10:30:00  PM,13.558,,,,
47,06/08/23 11:00:00  PM,13.750,,,,
48,06/08/23 11:30:00  PM,13.558,,,,
49,06/09/23 12:00:00  AM,13.461,,,,
50,06/09/23 12:30:00  AM,13.365,,,,
51,06/09/23 01:00:00  AM,13.461,,,,
52,06/09/23 01:30:00  AM,12.883,,,,
53,06/09/23 02:00:00  AM,11.916,,,,
54,06/09/23 02:30:00  AM,10.944,,,,
55,06/09/23 03:00:00  AM,10.455,,,,
56,06/09/23 03:30:00  AM,10.357,,,,
57,06/09/23 04:00:00  AM,10.259,,,,
58,06/09/23 04:30:00  AM,10.063,,,,
59,06/09/23 05:00:00  AM,10.455,,,,
60,06/09/23 05:30:00  AM,11.236,,,,
61,06/09/23 06:00:00  AM,12.110,,,,
62,06/09/23 06:30:00  AM,12.883,,,,
63,06/09/23 07:00:00  AM,13.461,,,,
64,06/09/23 07:30:00  AM,15.091,,,,
65,06/09/23 08:00:00  AM,16.332,,,,
66,06/09/23 08:30:00  AM,16.903,,,,
67,06/09/23 09:00:00  AM,16.808,,,,
68,06/09/23 09:30:00  AM,15.855,,,,
69,06/09/23 10:00:00  AM,15.569,,,,
70,06/09/23 10:30:00  AM,18.331,,,,
71,06/09/23 11:00:00  AM,18.140,,,,
72,06/09/23 11:30:00  AM,19.377,,,,
73,06/09/23 12:00:00  PM,17.284,,,,
74,06/09/23 12:30:00  PM,19.758,,,,
75,06/09/23 01:00:00  PM,21.473,,,,
76,06/09/23 01:30:00  PM,22.046,,,,
77,06/09/23 02:00:00  PM,17.570,,,,
78,06/09/23 02:30:00  PM,16.046,,,,
79,06/09/23 03:00:00  PM,16.903,,,,
80,06/09/23 03:30:00  PM,18.996,,,,
81,06/09/23 04:00:00  PM,17.570,,,,
