"Plot Title: CON-4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10163053, SEN S/N: 10163053, LBL: ground temp)","Good Battery (LGR S/N: 10163053)","Coupler Attached (LGR S/N: 10163053)","Host Connected (LGR S/N: 10163053)","Stopped (LGR S/N: 10163053)","End Of File (LGR S/N: 10163053)"
117,06/10/23 10:00:00  AM,15.187,,,,,
118,06/10/23 10:30:00  AM,16.523,,,,,
119,06/10/23 11:00:00  AM,16.332,,,,,
120,06/10/23 11:30:00  AM,17.950,,,,,
121,06/10/23 12:00:00  PM,16.046,,,,,
122,06/10/23 12:30:00  PM,14.996,,,,,
123,06/10/23 01:00:00  PM,15.091,,,,,
124,06/10/23 01:30:00  PM,24.351,,,,,
125,06/10/23 02:00:00  PM,24.931,,,,,
126,06/10/23 02:30:00  PM,17.094,,,,,
127,06/10/23 03:00:00  PM,14.517,,,,,
128,06/10/23 03:30:00  PM,15.091,,,,,
129,06/10/23 04:00:00  PM,14.709,,,,,
130,06/10/23 04:30:00  PM,15.760,,,,,
131,06/10/23 05:00:00  PM,14.517,,,,,
132,06/10/23 05:30:00  PM,15.951,,,,,
133,06/10/23 06:00:00  PM,14.900,,,,,
134,06/10/23 06:30:00  PM,14.134,,,,,
135,06/10/23 07:00:00  PM,12.980,,,,,
136,06/10/23 07:30:00  PM,12.594,,,,,
137,06/10/23 08:00:00  PM,12.401,,,,,
138,06/10/23 08:30:00  PM,11.625,,,,,
139,06/10/23 09:00:00  PM,11.236,,,,,
140,06/10/23 09:30:00  PM,10.944,,,,,
141,06/10/23 10:00:00  PM,10.651,,,,,
142,06/10/23 10:30:00  PM,10.553,,,,,
143,06/10/23 11:00:00  PM,10.259,,,,,
144,06/10/23 11:30:00  PM,10.259,,,,,
145,06/11/23 12:00:00  AM,10.259,,,,,
146,06/11/23 12:30:00  AM,10.259,,,,,
147,06/11/23 01:00:00  AM,10.259,,,,,
148,06/11/23 01:30:00  AM,10.161,,,,,
149,06/11/23 02:00:00  AM,9.866,,,,,
150,06/11/23 02:30:00  AM,9.768,,,,,
151,06/11/23 03:00:00  AM,9.669,,,,,
152,06/11/23 03:30:00  AM,9.669,,,,,
153,06/11/23 04:00:00  AM,9.571,,,,,
154,06/11/23 04:30:00  AM,9.571,,,,,
155,06/11/23 05:00:00  AM,9.571,,,,,
156,06/11/23 05:30:00  AM,9.571,,,,,
157,06/11/23 06:00:00  AM,9.669,,,,,
158,06/11/23 06:30:00  AM,9.866,,,,,
159,06/11/23 07:00:00  AM,10.063,,,,,
160,06/11/23 07:30:00  AM,10.455,,,,,
161,06/11/23 08:00:00  AM,10.748,,,,,
162,06/11/23 08:30:00  AM,11.334,,,,,
163,06/11/23 09:00:00  AM,11.819,,,,,
164,06/11/23 09:30:00  AM,12.594,,,,,
