"Plot Title: CON-2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20202684, SEN S/N: 20202684, LBL: ground temperature)","Coupler Attached (LGR S/N: 20202684)","Host Connected (LGR S/N: 20202684)","Stopped (LGR S/N: 20202684)","End Of File (LGR S/N: 20202684)"
1,06/08/23 12:00:00  AM,8.680,,,,
2,06/08/23 12:30:00  AM,7.983,,,,
3,06/08/23 01:00:00  AM,7.381,,,,
4,06/08/23 01:30:00  AM,6.978,,,,
5,06/08/23 02:00:00  AM,6.471,,,,
6,06/08/23 02:30:00  AM,6.064,,,,
7,06/08/23 03:00:00  AM,5.655,,,,
8,06/08/23 03:30:00  AM,5.347,,,,
9,06/08/23 04:00:00  AM,5.037,,,,
10,06/08/23 04:30:00  AM,4.727,,,,
11,06/08/23 05:00:00  AM,4.519,,,,
12,06/08/23 05:30:00  AM,4.519,,,,
13,06/08/23 06:00:00  AM,4.519,,,,
14,06/08/23 06:30:00  AM,5.037,,,,
15,06/08/23 07:00:00  AM,6.573,,,,
16,06/08/23 07:30:00  AM,8.182,,,,
17,06/08/23 08:00:00  AM,9.866,,,,
18,06/08/23 08:30:00  AM,11.625,,,,
19,06/08/23 09:00:00  AM,15.664,,,,
20,06/08/23 09:30:00  AM,27.075,,,,
21,06/08/23 10:00:00  AM,36.620,,,,
22,06/08/23 10:30:00  AM,42.164,,,,
23,06/08/23 11:00:00  AM,40.530,,,,
24,06/08/23 11:30:00  AM,26.488,,,,
25,06/08/23 12:00:00  PM,24.931,,,,
26,06/08/23 12:30:00  PM,28.953,,,,
27,06/08/23 01:00:00  PM,26.683,,,,
28,06/08/23 01:30:00  PM,39.957,,,,
29,06/08/23 02:00:00  PM,39.389,,,,
30,06/08/23 02:30:00  PM,28.357,,,,
31,06/08/23 03:00:00  PM,27.370,,,,
32,06/08/23 03:30:00  PM,27.468,,,,
33,06/08/23 04:00:00  PM,26.195,,,,
34,06/08/23 04:30:00  PM,27.468,,,,
35,06/08/23 05:00:00  PM,25.028,,,,
36,06/08/23 05:30:00  PM,32.497,,,,
37,06/08/23 06:00:00  PM,24.545,,,,
38,06/08/23 06:30:00  PM,23.100,,,,
39,06/08/23 07:00:00  PM,21.378,,,,
40,06/08/23 07:30:00  PM,20.043,,,,
41,06/08/23 08:00:00  PM,18.331,,,,
42,06/08/23 08:30:00  PM,17.665,,,,
43,06/08/23 09:00:00  PM,16.332,,,,
44,06/08/23 09:30:00  PM,14.421,,,,
45,06/08/23 10:00:00  PM,13.365,,,,
46,06/08/23 10:30:00  PM,13.558,,,,
47,06/08/23 11:00:00  PM,13.654,,,,
48,06/08/23 11:30:00  PM,13.461,,,,
49,06/09/23 12:00:00  AM,13.365,,,,
50,06/09/23 12:30:00  AM,13.269,,,,
51,06/09/23 01:00:00  AM,13.365,,,,
52,06/09/23 01:30:00  AM,13.076,,,,
53,06/09/23 02:00:00  AM,12.013,,,,
54,06/09/23 02:30:00  AM,11.139,,,,
55,06/09/23 03:00:00  AM,10.846,,,,
56,06/09/23 03:30:00  AM,10.748,,,,
57,06/09/23 04:00:00  AM,10.748,,,,
58,06/09/23 04:30:00  AM,10.455,,,,
59,06/09/23 05:00:00  AM,10.455,,,,
60,06/09/23 05:30:00  AM,10.846,,,,
61,06/09/23 06:00:00  AM,11.528,,,,
62,06/09/23 06:30:00  AM,12.497,,,,
63,06/09/23 07:00:00  AM,12.980,,,,
64,06/09/23 07:30:00  AM,14.517,,,,
65,06/09/23 08:00:00  AM,15.378,,,,
66,06/09/23 08:30:00  AM,15.951,,,,
67,06/09/23 09:00:00  AM,15.760,,,,
68,06/09/23 09:30:00  AM,15.091,,,,
69,06/09/23 10:00:00  AM,14.900,,,,
70,06/09/23 10:30:00  AM,16.618,,,,
71,06/09/23 11:00:00  AM,17.379,,,,
72,06/09/23 11:30:00  AM,17.379,,,,
73,06/09/23 12:00:00  PM,16.141,,,,
74,06/09/23 12:30:00  PM,18.616,,,,
75,06/09/23 01:00:00  PM,20.805,,,,
76,06/09/23 01:30:00  PM,20.138,,,,
77,06/09/23 02:00:00  PM,16.523,,,,
78,06/09/23 02:30:00  PM,15.664,,,,
79,06/09/23 03:00:00  PM,16.046,,,,
80,06/09/23 03:30:00  PM,17.475,,,,
81,06/09/23 04:00:00  PM,16.808,,,,
82,06/09/23 04:30:00  PM,16.808,,,,
83,06/09/23 05:00:00  PM,16.999,,,,
84,06/09/23 05:30:00  PM,15.855,,,,
85,06/09/23 06:00:00  PM,14.134,,,,
86,06/09/23 06:30:00  PM,14.038,,,,
87,06/09/23 07:00:00  PM,13.942,,,,
88,06/09/23 07:30:00  PM,13.846,,,,
89,06/09/23 08:00:00  PM,13.269,,,,
90,06/09/23 08:30:00  PM,12.690,,,,
91,06/09/23 09:00:00  PM,12.207,,,,
92,06/09/23 09:30:00  PM,11.819,,,,
93,06/09/23 10:00:00  PM,11.528,,,,
94,06/09/23 10:30:00  PM,11.431,,,,
95,06/09/23 11:00:00  PM,11.236,,,,
96,06/09/23 11:30:00  PM,11.041,,,,
97,06/10/23 12:00:00  AM,10.944,,,,
98,06/10/23 12:30:00  AM,10.651,,,,
99,06/10/23 01:00:00  AM,10.357,,,,
100,06/10/23 01:30:00  AM,10.357,,,,
101,06/10/23 02:00:00  AM,10.259,,,,
102,06/10/23 02:30:00  AM,9.965,,,,
103,06/10/23 03:00:00  AM,9.866,,,,
104,06/10/23 03:30:00  AM,9.768,,,,
105,06/10/23 04:00:00  AM,9.373,,,,
106,06/10/23 04:30:00  AM,9.373,,,,
107,06/10/23 05:00:00  AM,9.373,,,,
108,06/10/23 05:30:00  AM,9.472,,,,
109,06/10/23 06:00:00  AM,9.472,,,,
110,06/10/23 06:30:00  AM,9.768,,,,
111,06/10/23 07:00:00  AM,10.063,,,,
112,06/10/23 07:30:00  AM,10.161,,,,
113,06/10/23 08:00:00  AM,10.651,,,,
114,06/10/23 08:30:00  AM,11.819,,,,
115,06/10/23 09:00:00  AM,13.461,,,,
116,06/10/23 09:30:00  AM,16.713,,,,
117,06/10/23 10:00:00  AM,18.236,,,,
118,06/10/23 10:30:00  AM,20.805,,,,
119,06/10/23 11:00:00  AM,24.545,,,,
120,06/10/23 11:30:00  AM,19.092,,,,
121,06/10/23 12:00:00  PM,16.046,,,,
122,06/10/23 12:30:00  PM,15.187,,,,
123,06/10/23 01:00:00  PM,15.569,,,,
124,06/10/23 01:30:00  PM,21.855,,,,
125,06/10/23 02:00:00  PM,22.046,,,,
126,06/10/23 02:30:00  PM,15.473,,,,
127,06/10/23 03:00:00  PM,13.846,,,,
128,06/10/23 03:30:00  PM,14.613,,,,
129,06/10/23 04:00:00  PM,14.038,,,,
130,06/10/23 04:30:00  PM,14.996,,,,
131,06/10/23 05:00:00  PM,14.038,,,,
132,06/10/23 05:30:00  PM,15.091,,,,
133,06/10/23 06:00:00  PM,14.613,,,,
134,06/10/23 06:30:00  PM,13.654,,,,
135,06/10/23 07:00:00  PM,12.401,,,,
136,06/10/23 07:30:00  PM,12.690,,,,
137,06/10/23 08:00:00  PM,11.819,,,,
138,06/10/23 08:30:00  PM,11.334,,,,
139,06/10/23 09:00:00  PM,11.139,,,,
140,06/10/23 09:30:00  PM,10.944,,,,
141,06/10/23 10:00:00  PM,10.846,,,,
142,06/10/23 10:30:00  PM,10.748,,,,
143,06/10/23 11:00:00  PM,10.455,,,,
144,06/10/23 11:30:00  PM,10.357,,,,
145,06/11/23 12:00:00  AM,10.357,,,,
146,06/11/23 12:30:00  AM,10.259,,,,
147,06/11/23 01:00:00  AM,10.259,,,,
148,06/11/23 01:30:00  AM,10.161,,,,
149,06/11/23 02:00:00  AM,9.965,,,,
150,06/11/23 02:30:00  AM,9.866,,,,
151,06/11/23 03:00:00  AM,9.768,,,,
152,06/11/23 03:30:00  AM,9.768,,,,
153,06/11/23 04:00:00  AM,9.571,,,,
154,06/11/23 04:30:00  AM,9.571,,,,
155,06/11/23 05:00:00  AM,9.669,,,,
156,06/11/23 05:30:00  AM,9.669,,,,
157,06/11/23 06:00:00  AM,9.768,,,,
158,06/11/23 06:30:00  AM,9.965,,,,
159,06/11/23 07:00:00  AM,10.259,,,,
160,06/11/23 07:30:00  AM,10.944,,,,
161,06/11/23 08:00:00  AM,11.236,,,,
162,06/11/23 08:30:00  AM,12.013,,,,
163,06/11/23 09:00:00  AM,12.690,,,,
164,06/11/23 09:30:00  AM,13.461,,,,
165,06/11/23 10:00:00  AM,15.473,,,,
166,06/11/23 10:30:00  AM,15.473,,,,
167,06/11/23 11:00:00  AM,15.569,,,,
168,06/11/23 11:30:00  AM,15.664,,,,
169,06/11/23 12:00:00  PM,15.378,,,,
170,06/11/23 12:30:00  PM,16.427,,,,
171,06/11/23 01:00:00  PM,17.760,,,,
172,06/11/23 01:30:00  PM,17.665,,,,
173,06/11/23 02:00:00  PM,20.138,,,,
174,06/11/23 02:30:00  PM,19.662,,,,
175,06/11/23 03:00:00  PM,19.758,,,,
176,06/11/23 03:30:00  PM,23.004,,,,
177,06/11/23 04:00:00  PM,19.472,,,,
178,06/11/23 04:30:00  PM,19.092,,,,
179,06/11/23 05:00:00  PM,17.570,,,,
180,06/11/23 05:30:00  PM,17.284,,,,
181,06/11/23 06:00:00  PM,18.711,,,,
182,06/11/23 06:30:00  PM,18.616,,,,
183,06/11/23 07:00:00  PM,17.284,,,,
184,06/11/23 07:30:00  PM,15.569,,,,
185,06/11/23 08:00:00  PM,15.473,,,,
186,06/11/23 08:30:00  PM,14.230,,,,
187,06/11/23 09:00:00  PM,13.076,,,,
188,06/11/23 09:30:00  PM,12.980,,,,
189,06/11/23 10:00:00  PM,11.722,,,,
190,06/11/23 10:30:00  PM,10.846,,,,
191,06/11/23 11:00:00  PM,9.965,,,,
192,06/11/23 11:30:00  PM,9.669,,,,
193,06/12/23 12:00:00  AM,9.176,,,,
194,06/12/23 12:30:00  AM,8.481,,,,
195,06/12/23 01:00:00  AM,8.082,,,,
196,06/12/23 01:30:00  AM,7.582,,,,
197,06/12/23 02:00:00  AM,7.280,,,,
198,06/12/23 02:30:00  AM,6.775,,,,
199,06/12/23 03:00:00  AM,6.370,,,,
200,06/12/23 03:30:00  AM,5.962,,,,
201,06/12/23 04:00:00  AM,6.573,,,,
202,06/12/23 04:30:00  AM,6.978,,,,
203,06/12/23 05:00:00  AM,6.573,,,,
204,06/12/23 05:30:00  AM,6.166,,,,
205,06/12/23 06:00:00  AM,5.860,,,,
206,06/12/23 06:30:00  AM,5.962,,,,
207,06/12/23 07:00:00  AM,7.280,,,,
208,06/12/23 07:30:00  AM,8.481,,,,
209,06/12/23 08:00:00  AM,9.669,,,,
210,06/12/23 08:30:00  AM,11.334,,,,
211,06/12/23 09:00:00  AM,13.750,,,,
212,06/12/23 09:30:00  AM,22.238,,,,
213,06/12/23 10:00:00  AM,31.268,,,,
214,06/12/23 10:30:00  AM,37.494,,,,
215,06/12/23 11:00:00  AM,39.050,,,,
216,06/12/23 11:30:00  AM,24.738,,,,
217,06/12/23 12:00:00  PM,20.329,,,,
218,06/12/23 12:30:00  PM,26.195,,,,
219,06/12/23 01:00:00  PM,35.328,,,,
220,06/12/23 01:30:00  PM,41.810,,,,
221,06/12/23 02:00:00  PM,37.055,,,,
222,06/12/23 02:30:00  PM,29.652,,,,
223,06/12/23 03:00:00  PM,26.000,,,,
224,06/12/23 03:30:00  PM,28.853,,,,
225,06/12/23 04:00:00  PM,24.351,,,,
226,06/12/23 04:30:00  PM,25.708,,,,
227,06/12/23 05:00:00  PM,24.931,,,,
228,06/12/23 05:30:00  PM,31.166,,,,
229,06/12/23 06:00:00  PM,26.977,,,,
230,06/12/23 06:30:00  PM,22.908,,,,
231,06/12/23 07:00:00  PM,20.805,,,,
232,06/12/23 07:30:00  PM,20.043,,,,
233,06/12/23 08:00:00  PM,18.901,,,,
234,06/12/23 08:30:00  PM,16.903,,,,
235,06/12/23 09:00:00  PM,15.664,,,,
236,06/12/23 09:30:00  PM,14.038,,,,
237,06/12/23 10:00:00  PM,13.173,,,,
238,06/12/23 10:30:00  PM,12.594,,,,
239,06/12/23 11:00:00  PM,12.013,,,,
240,06/12/23 11:30:00  PM,11.722,,,,
241,06/13/23 12:00:00  AM,11.236,,,,
242,06/13/23 12:30:00  AM,10.748,,,,
243,06/13/23 01:00:00  AM,10.357,,,,
244,06/13/23 01:30:00  AM,9.866,,,,
245,06/13/23 02:00:00  AM,9.571,,,,
246,06/13/23 02:30:00  AM,9.472,,,,
247,06/13/23 03:00:00  AM,8.978,,,,
248,06/13/23 03:30:00  AM,8.680,,,,
249,06/13/23 04:00:00  AM,8.581,,,,
250,06/13/23 04:30:00  AM,8.282,,,,
251,06/13/23 05:00:00  AM,8.382,,,,
252,06/13/23 05:30:00  AM,8.779,,,,
253,06/13/23 06:00:00  AM,8.978,,,,
254,06/13/23 06:30:00  AM,9.077,,,,
255,06/13/23 07:00:00  AM,9.176,,,,
256,06/13/23 07:30:00  AM,11.431,,,,
257,06/13/23 08:00:00  AM,13.654,,,,
258,06/13/23 08:30:00  AM,15.091,,,,
259,06/13/23 09:00:00  AM,16.999,,,,
260,06/13/23 09:30:00  AM,20.138,,,,
261,06/13/23 10:00:00  AM,24.641,,,,
262,06/13/23 10:30:00  AM,29.953,,,,
263,06/13/23 11:00:00  AM,23.581,,,,
264,06/13/23 11:30:00  AM,20.710,,,,
265,06/13/23 12:00:00  PM,20.138,,,,
266,06/13/23 12:30:00  PM,21.282,,,,
267,06/13/23 01:00:00  PM,21.473,,,,
268,06/13/23 01:30:00  PM,23.966,,,,
269,06/13/23 02:00:00  PM,27.862,,,,
270,06/13/23 02:30:00  PM,19.853,,,,
271,06/13/23 03:00:00  PM,15.760,,,,
272,06/13/23 03:30:00  PM,15.951,,,,
273,06/13/23 04:00:00  PM,13.558,,,,
274,06/13/23 04:30:00  PM,12.787,,,,
275,06/13/23 05:00:00  PM,13.461,,,,
276,06/13/23 05:30:00  PM,13.173,,,,
277,06/13/23 06:00:00  PM,12.980,,,,
278,06/13/23 06:30:00  PM,10.944,,,,
279,06/13/23 07:00:00  PM,11.041,,,,
280,06/13/23 07:30:00  PM,10.259,,,,
281,06/13/23 08:00:00  PM,9.768,,,,
282,06/13/23 08:30:00  PM,8.779,,,,
283,06/13/23 09:00:00  PM,7.682,,,,
284,06/13/23 09:30:00  PM,7.179,,,,
285,06/13/23 10:00:00  PM,7.381,,,,
286,06/13/23 10:30:00  PM,7.381,,,,
287,06/13/23 11:00:00  PM,6.978,,,,
288,06/13/23 11:30:00  PM,6.573,,,,
289,06/14/23 12:00:00  AM,5.962,,,,
290,06/14/23 12:30:00  AM,5.860,,,,
291,06/14/23 01:00:00  AM,6.166,,,,
292,06/14/23 01:30:00  AM,6.166,,,,
293,06/14/23 02:00:00  AM,6.064,,,,
294,06/14/23 02:30:00  AM,5.860,,,,
295,06/14/23 03:00:00  AM,5.552,,,,
296,06/14/23 03:30:00  AM,5.244,,,,
297,06/14/23 04:00:00  AM,5.450,,,,
298,06/14/23 04:30:00  AM,5.552,,,,
299,06/14/23 05:00:00  AM,5.552,,,,
300,06/14/23 05:30:00  AM,5.655,,,,
301,06/14/23 06:00:00  AM,5.962,,,,
302,06/14/23 06:30:00  AM,6.064,,,,
303,06/14/23 07:00:00  AM,6.573,,,,
304,06/14/23 07:30:00  AM,6.573,,,,
305,06/14/23 08:00:00  AM,6.573,,,,
306,06/14/23 08:30:00  AM,7.582,,,,
307,06/14/23 09:00:00  AM,7.582,,,,
308,06/14/23 09:30:00  AM,12.401,,,,
309,06/14/23 10:00:00  AM,10.357,,,,
310,06/14/23 10:30:00  AM,12.690,,,,
311,06/14/23 11:00:00  AM,23.581,,,,
312,06/14/23 11:30:00  AM,14.517,,,,
313,06/14/23 12:00:00  PM,11.722,,,,
314,06/14/23 12:30:00  PM,16.141,,,,
315,06/14/23 01:00:00  PM,15.091,,,,
316,06/14/23 01:30:00  PM,14.613,,,,
317,06/14/23 02:00:00  PM,14.517,,,,
318,06/14/23 02:30:00  PM,17.855,,,,
319,06/14/23 03:00:00  PM,17.475,,,,
320,06/14/23 03:30:00  PM,14.517,,,,
